source_file,row_id,qid,method,policy,policy_display,experiment_group,question,final_action,correct,answered,history_index,step,action,last_action,remaining_budget,num_evidence,best_answer,best_answer_weight,best_utility,delta_uncertainty,evidence_gain,answer_utility,continue_utility,service_utility,generation_entropy,utility_uncertainty,stability_score,total_uncertainty,retrieval_uncertainty,conflict_uncertainty,stability_uncertainty
decision_loop_predictions.json,0,0,decision_loop,default,Default,compare_small,What poet wrote a long poem describing Roman religious holidays?,ANSWER,1,1,1,1,RETRIEVE_MORE,,2,3,ovid,0.6484,0.1815,0.2627,0.1815,0.3977,0.6131,0.3977,0.8082,0.8185,0.4453,0.7373,0.8185,0.3516,0.5547
decision_loop_predictions.json,0,0,decision_loop,default,Default,compare_small,What poet wrote a long poem describing Roman religious holidays?,ANSWER,1,1,2,2,STOP,RETRIEVE_MORE,1,5,ovid,0.4733,0.1815,0.0,0.0,0.3315,0.3892,0.2315,0.8595,0.8185,0.4208,0.7549,0.8185,0.5267,0.5792
decision_loop_predictions.json,1,1,decision_loop,default,Default,compare_small,What is the form of hydrogen and carbon called?,ANSWER,0,1,1,1,RETRIEVE_MORE,,2,3,ortho-para,0.409,0.1404,0.0941,0.1404,0.2199,0.6232,0.2199,0.9822,0.8596,0.0678,0.9059,0.8596,0.591,0.9322
decision_loop_predictions.json,1,1,decision_loop,default,Default,compare_small,What is the form of hydrogen and carbon called?,ANSWER,0,1,2,2,RERANK,RETRIEVE_MORE,1,5,ortho-para,0.2859,0.1404,0.0404,0.0,0.2028,0.4441,0.1028,0.9746,0.8596,0.1974,0.8655,0.8596,0.7141,0.8026
decision_loop_predictions.json,1,1,decision_loop,default,Default,compare_small,What is the form of hydrogen and carbon called?,ANSWER,0,1,3,3,RETRIEVE_MORE,RERANK,1,3,ortho-para,0.4489,0.1645,0.0475,0.0241,0.2942,0.4303,0.1942,0.9736,0.8355,0.3151,0.818,0.8355,0.5511,0.6849
decision_loop_predictions.json,1,1,decision_loop,default,Default,compare_small,What is the form of hydrogen and carbon called?,ANSWER,0,1,4,4,STOP,RETRIEVE_MORE,0,5,ortho-para,0.3298,0.1645,0.0,0.0,0.2437,0.29,0.0437,0.9611,0.8355,0.2713,0.8286,0.8355,0.6702,0.7287
decision_loop_predictions.json,2,2,decision_loop,default,Default,compare_small,What adjective did Lawrence Toppman use to describe Craig's portrayal of James Bond?,ANSWER,1,1,1,1,RETRIEVE_MORE,,2,3,bored,0.6383,0.3308,0.3315,0.3308,0.4592,0.6166,0.4592,0.8213,0.6692,0.4346,0.6685,0.6692,0.3617,0.5654
decision_loop_predictions.json,2,2,decision_loop,default,Default,compare_small,What adjective did Lawrence Toppman use to describe Craig's portrayal of James Bond?,ANSWER,1,1,2,2,ANSWER,RETRIEVE_MORE,1,5,bored,0.5064,0.3308,0.0131,0.0,0.425,0.3596,0.325,0.8458,0.6692,0.4948,0.6553,0.6692,0.4936,0.5052
decision_loop_predictions.json,3,3,decision_loop,default,Default,compare_small,To what two islands does the ferry service connect?,ANSWER,0,1,1,1,RETRIEVE_MORE,,2,3,east cowes and cowes,0.4183,0.12,0.0982,0.12,0.2239,0.6136,0.2239,0.9854,0.88,0.1175,0.9018,0.88,0.5817,0.8825
decision_loop_predictions.json,3,3,decision_loop,default,Default,compare_small,To what two islands does the ferry service connect?,ANSWER,0,1,2,2,RERANK,RETRIEVE_MORE,1,5,east cowes and cowes,0.3123,0.12,0.0405,0.0,0.2109,0.4427,0.1109,0.9631,0.88,0.2377,0.8613,0.88,0.6877,0.7623
decision_loop_predictions.json,3,3,decision_loop,default,Default,compare_small,To what two islands does the ferry service connect?,ANSWER,0,1,3,3,STOP,RERANK,1,3,east cowes and cowes,0.4183,0.12,0.0045,0.0,0.2539,0.4267,0.1539,0.9854,0.88,0.2675,0.8568,0.88,0.5817,0.7325
decision_loop_predictions.json,4,4,decision_loop,default,Default,compare_small,What took the place of Mac's Xserve server?,ANSWER,1,1,1,1,RETRIEVE_MORE,,2,3,mac mini and mac pro,0.471,0.1313,0.1278,0.1313,0.2601,0.6078,0.2601,0.9609,0.8687,0.181,0.8722,0.8687,0.529,0.819
decision_loop_predictions.json,4,4,decision_loop,default,Default,compare_small,What took the place of Mac's Xserve server?,ANSWER,1,1,2,2,RERANK,RETRIEVE_MORE,1,5,mac mini and mac pro,0.3318,0.1313,0.0281,0.0,0.2307,0.4317,0.1307,0.9649,0.8687,0.2775,0.8441,0.8687,0.6682,0.7225
decision_loop_predictions.json,4,4,decision_loop,default,Default,compare_small,What took the place of Mac's Xserve server?,ANSWER,1,1,3,3,RETRIEVE_MORE,RERANK,1,3,mac mini and mac pro,0.471,0.1313,0.0169,0.0,0.2901,0.4213,0.1901,0.9609,0.8687,0.331,0.8272,0.8687,0.529,0.669
decision_loop_predictions.json,4,4,decision_loop,default,Default,compare_small,What took the place of Mac's Xserve server?,ANSWER,1,1,4,4,STOP,RETRIEVE_MORE,0,5,mac mini and mac pro,0.3318,0.1313,0.0,0.0,0.2307,0.2954,0.0307,0.9649,0.8687,0.2775,0.8441,0.8687,0.6682,0.7225
decision_loop_predictions.json,5,5,decision_loop,default,Default,compare_small,What is one example of an application that videoconferencing manufacturers have begun to offer?,ANSWER,0,1,1,1,RETRIEVE_MORE,,2,3,live and still image streaming,0.4617,0.0789,0.0852,0.0789,0.2208,0.6043,0.2208,0.9491,0.9211,0.1185,0.9148,0.9211,0.5383,0.8815
decision_loop_predictions.json,5,5,decision_loop,default,Default,compare_small,What is one example of an application that videoconferencing manufacturers have begun to offer?,ANSWER,0,1,2,2,RERANK,RETRIEVE_MORE,1,5,live and still image streaming,0.2899,0.0789,0.0265,0.0,0.1818,0.4465,0.0818,0.9753,0.9211,0.2244,0.8883,0.9211,0.7101,0.7756
decision_loop_predictions.json,5,5,decision_loop,default,Default,compare_small,What is one example of an application that videoconferencing manufacturers have begun to offer?,ANSWER,0,1,3,3,STOP,RERANK,1,3,live and still image streaming,0.3854,0.0789,0.0,0.0,0.2118,0.439,0.1118,0.9933,0.9211,0.2073,0.897,0.9211,0.6146,0.7927
decision_loop_predictions.json,6,6,decision_loop,default,Default,compare_small,What are Italian dialects termed in the Italian language?,ANSWER,0,1,1,1,RETRIEVE_MORE,,2,3,dialects,0.6918,0.1319,0.2028,0.1319,0.3782,0.6101,0.3782,0.8911,0.8681,0.3837,0.7972,0.8681,0.3082,0.6163
decision_loop_predictions.json,6,6,decision_loop,default,Default,compare_small,What are Italian dialects termed in the Italian language?,ANSWER,0,1,2,2,STOP,RETRIEVE_MORE,1,5,dialects,0.4657,0.1319,0.0018,0.0,0.304,0.4041,0.204,0.919,0.8681,0.4082,0.7954,0.8681,0.5343,0.5918
decision_loop_predictions.json,7,7,decision_loop,default,Default,compare_small,"Along with exhibition and distribution, what business did the Universal Film Manufacturing Company engage in?",ANSWER,1,1,1,1,RETRIEVE_MORE,,2,3,movie production,0.5062,0.1815,0.1596,0.1815,0.2932,0.6168,0.2932,0.9133,0.8185,0.1715,0.8404,0.8185,0.4938,0.8285
decision_loop_predictions.json,7,7,decision_loop,default,Default,compare_small,"Along with exhibition and distribution, what business did the Universal Film Manufacturing Company engage in?",ANSWER,1,1,2,2,RERANK,RETRIEVE_MORE,1,5,movie production,0.3761,0.1815,0.0288,0.0,0.2688,0.4206,0.1688,0.928,0.8185,0.2774,0.8116,0.8185,0.6239,0.7226
decision_loop_predictions.json,7,7,decision_loop,default,Default,compare_small,"Along with exhibition and distribution, what business did the Universal Film Manufacturing Company engage in?",ANSWER,1,1,3,3,STOP,RERANK,1,3,movie production,0.4559,0.1815,0.0,0.0,0.2915,0.4132,0.1915,0.9474,0.8185,0.2512,0.8234,0.8185,0.5441,0.7488
decision_loop_predictions.json,8,8,decision_loop,default,Default,compare_small,Whose life was 'Schindler's List' based on?,ANSWER,1,1,1,1,RETRIEVE_MORE,,2,3,oskar schindler,0.6628,0.2277,0.2912,0.2277,0.4236,0.6146,0.4236,0.7817,0.7723,0.4457,0.7088,0.7723,0.3372,0.5543
decision_loop_predictions.json,8,8,decision_loop,default,Default,compare_small,Whose life was 'Schindler's List' based on?,ANSWER,1,1,2,2,STOP,RETRIEVE_MORE,1,5,oskar schindler,0.5082,0.2277,0.0,0.0,0.3613,0.3829,0.2613,0.8603,0.7723,0.4048,0.7368,0.7723,0.4918,0.5952
decision_loop_predictions.json,9,9,decision_loop,default,Default,compare_small,In what presidential election year did Schwarzenegger make a name for himself as a prominent Republican?,ABSTAIN,0,0,1,1,RERANK,,2,3,2008,0.3674,0.1548,0.081,0.1548,0.1995,0.6336,0.1995,0.9919,0.8452,0.0065,0.919,0.8452,0.6326,0.9935
decision_loop_predictions.json,9,9,decision_loop,default,Default,compare_small,In what presidential election year did Schwarzenegger make a name for himself as a prominent Republican?,ABSTAIN,0,0,2,2,RETRIEVE_MORE,RERANK,2,3,2008,0.3674,0.1548,0.045,0.0,0.2295,0.5739,0.2295,0.9919,0.8452,0.1565,0.874,0.8452,0.6326,0.8435
decision_loop_predictions.json,9,9,decision_loop,default,Default,compare_small,In what presidential election year did Schwarzenegger make a name for himself as a prominent Republican?,ABSTAIN,0,0,3,3,RERANK,RETRIEVE_MORE,1,5,2006,0.3614,0.1548,0.0,0.0,0.2154,0.4343,0.1154,0.9497,0.8452,0.0962,0.8837,0.8452,0.6386,0.9038
decision_loop_predictions.json,9,9,decision_loop,default,Default,compare_small,In what presidential election year did Schwarzenegger make a name for himself as a prominent Republican?,ABSTAIN,0,0,4,4,STOP,RERANK,1,3,2008,0.3674,0.1548,0.0,0.0,0.1995,0.4467,0.0995,0.9919,0.8452,0.0065,0.919,0.8452,0.6326,0.9935
