experiment_group,method,policy,policy_display,count,accuracy,answer_rate,answered_only_accuracy,avg_uncertainty,avg_retrieval_uncertainty,avg_conflict_uncertainty,avg_stability_uncertainty,avg_steps,avg_evidence,avg_budget
compare_small,decision_loop,default,Default,100,0.45,1.0,0.45,0.5269544779924694,0.3040947407214747,0.4318639759215038,0.6752244886228511,1.38,3.08,0.19
compare_small,decision_loop,phase5_default,Phase5 Default,100,0.45,1.0,0.45,0.5269544779924694,0.3040947407214747,0.4318639759215038,0.6752244886228511,1.38,3.08,0.19
compare_small,single_shot,none,None,100,0.1,1.0,0.1,0.541725376113527,0.31782075918891783,0.43042158550184106,0.7007405762021812,1.0,3.0,0.0
compare_small,single_shot_abstain,none,None,100,0.09,0.63,0.14285714285714285,0.541725376113527,0.31782075918891783,0.43042158550184106,0.7007405762021812,1.0,3.0,0.0
compare_small,single_shot_rerank,none,None,100,0.09,1.0,0.09,0.544829633793841,0.29449695715329477,0.452290843906657,0.7307365362343441,2.0,3.0,0.0
legacy,legacy_phase3,phase3,phase3,20,0.1,0.2,0.5,0.338080668674323,0.33185177743434907,0.5,0.11077389978574229,3.4,4.0,
policy_sweep,decision_loop,aggressive,Aggressive,50,0.04,0.04,1.0,0.8335858325970099,0.8551811212335907,0.6053568005998121,0.7212195729198764,3.32,4.28,1.48
policy_sweep,decision_loop,balanced,Balanced,100,0.45,1.0,0.45,0.5269544779924694,0.3040947407214747,0.4318639759215038,0.6752244886228511,1.38,3.08,0.19
policy_sweep,decision_loop,conservative,Conservative,50,0.0,0.0,,0.8335858325970099,0.8551811212335907,0.6053568005998121,0.7212195729198764,3.32,4.28,1.48
policy_sweep,decision_loop,loose_1,Loose-1,100,0.45,1.0,0.45,0.5269544779924694,0.3040947407214747,0.4318639759215038,0.6752244886228511,1.38,3.08,0.19
policy_sweep,decision_loop,loose_2,Loose-2,100,0.45,1.0,0.45,0.5269544779924694,0.3040947407214747,0.4318639759215038,0.6752244886228511,1.38,3.08,0.19
policy_sweep,decision_loop,medium,Medium,50,0.0,0.0,,0.8335858325970099,0.8551811212335907,0.6053568005998121,0.7212195729198764,3.32,4.28,1.48
policy_sweep,decision_loop,more_selective,More Selective,100,0.45,1.0,0.45,0.5269544779924694,0.3040947407214747,0.4318639759215038,0.6752244886228511,1.38,3.08,0.19
policy_sweep,decision_loop,selective,Selective,100,0.45,1.0,0.45,0.5269544779924694,0.3040947407214747,0.4318639759215038,0.6752244886228511,1.38,3.08,0.19
